,DATA_NOTIFICACAO,Date,FAIXA_ETARIA,count
202,03/05/2020,2020-03-05,1 A 9 ANOS,2
207,03/05/2020,2020-03-05,50 A 59 ANOS,47
220,03/06/2020,2020-03-06,80 A 89 ANOS,27
222,03/06/2020,2020-03-06,<1ANO,12
221,03/06/2020,2020-03-06,90 OU MAIS,6
219,03/06/2020,2020-03-06,70 A 79 ANOS,59
213,03/06/2020,2020-03-06,10 A 19 ANOS,50
217,03/06/2020,2020-03-06,50 A 59 ANOS,202
216,03/06/2020,2020-03-06,40 A 49 ANOS,348
215,03/06/2020,2020-03-06,30 A 39 ANOS,504
214,03/06/2020,2020-03-06,20 A 29 ANOS,315
212,03/06/2020,2020-03-06,1 A 9 ANOS,28
218,03/06/2020,2020-03-06,60 A 69 ANOS,110
231,03/07/2020,2020-03-07,80 A 89 ANOS,89
233,03/07/2020,2020-03-07,<1ANO,14
232,03/07/2020,2020-03-07,90 OU MAIS,14
229,03/07/2020,2020-03-07,60 A 69 ANOS,284
230,03/07/2020,2020-03-07,70 A 79 ANOS,155
227,03/07/2020,2020-03-07,40 A 49 ANOS,861
226,03/07/2020,2020-03-07,30 A 39 ANOS,1158
225,03/07/2020,2020-03-07,20 A 29 ANOS,691
224,03/07/2020,2020-03-07,10 A 19 ANOS,146
228,03/07/2020,2020-03-07,50 A 59 ANOS,517
223,03/07/2020,2020-03-07,1 A 9 ANOS,84
244,03/08/2020,2020-03-08,<1ANO,8
243,03/08/2020,2020-03-08,90 OU MAIS,11
242,03/08/2020,2020-03-08,80 A 89 ANOS,72
241,03/08/2020,2020-03-08,70 A 79 ANOS,114
240,03/08/2020,2020-03-08,60 A 69 ANOS,243
239,03/08/2020,2020-03-08,50 A 59 ANOS,430
238,03/08/2020,2020-03-08,40 A 49 ANOS,567
237,03/08/2020,2020-03-08,30 A 39 ANOS,660
236,03/08/2020,2020-03-08,20 A 29 ANOS,516
235,03/08/2020,2020-03-08,10 A 19 ANOS,123
234,03/08/2020,2020-03-08,1 A 9 ANOS,60
255,03/09/2020,2020-03-09,<1ANO,11
254,03/09/2020,2020-03-09,90 OU MAIS,21
253,03/09/2020,2020-03-09,80 A 89 ANOS,53
252,03/09/2020,2020-03-09,70 A 79 ANOS,102
245,03/09/2020,2020-03-09,1 A 9 ANOS,73
250,03/09/2020,2020-03-09,50 A 59 ANOS,337
249,03/09/2020,2020-03-09,40 A 49 ANOS,446
248,03/09/2020,2020-03-09,30 A 39 ANOS,577
247,03/09/2020,2020-03-09,20 A 29 ANOS,445
246,03/09/2020,2020-03-09,10 A 19 ANOS,137
251,03/09/2020,2020-03-09,60 A 69 ANOS,215
265,03/10/2020,2020-03-10,90 OU MAIS,11
264,03/10/2020,2020-03-10,80 A 89 ANOS,35
266,03/10/2020,2020-03-10,<1ANO,5
263,03/10/2020,2020-03-10,70 A 79 ANOS,48
257,03/10/2020,2020-03-10,10 A 19 ANOS,55
261,03/10/2020,2020-03-10,50 A 59 ANOS,127
262,03/10/2020,2020-03-10,60 A 69 ANOS,85
258,03/10/2020,2020-03-10,20 A 29 ANOS,171
256,03/10/2020,2020-03-10,1 A 9 ANOS,19
259,03/10/2020,2020-03-10,30 A 39 ANOS,246
260,03/10/2020,2020-03-10,40 A 49 ANOS,161
277,03/11/2020,2020-03-11,<1ANO,13
276,03/11/2020,2020-03-11,90 OU MAIS,12
274,03/11/2020,2020-03-11,70 A 79 ANOS,71
273,03/11/2020,2020-03-11,60 A 69 ANOS,123
267,03/11/2020,2020-03-11,1 A 9 ANOS,19
271,03/11/2020,2020-03-11,40 A 49 ANOS,242
270,03/11/2020,2020-03-11,30 A 39 ANOS,321
269,03/11/2020,2020-03-11,20 A 29 ANOS,261
268,03/11/2020,2020-03-11,10 A 19 ANOS,67
272,03/11/2020,2020-03-11,50 A 59 ANOS,169
275,03/11/2020,2020-03-11,80 A 89 ANOS,21
285,03/12/2020,2020-03-12,70 A 79 ANOS,119
288,03/12/2020,2020-03-12,<1ANO,20
287,03/12/2020,2020-03-12,90 OU MAIS,11
286,03/12/2020,2020-03-12,80 A 89 ANOS,58
283,03/12/2020,2020-03-12,50 A 59 ANOS,384
282,03/12/2020,2020-03-12,40 A 49 ANOS,511
280,03/12/2020,2020-03-12,20 A 29 ANOS,517
279,03/12/2020,2020-03-12,10 A 19 ANOS,153
278,03/12/2020,2020-03-12,1 A 9 ANOS,53
284,03/12/2020,2020-03-12,60 A 69 ANOS,265
281,03/12/2020,2020-03-12,30 A 39 ANOS,616
1165,13/03/2020,2020-03-13,20 A 29 ANOS,1
1265,14/03/2020,2020-03-14,20 A 29 ANOS,1
1268,14/03/2020,2020-03-14,60 A 69 ANOS,1
1267,14/03/2020,2020-03-14,40 A 49 ANOS,1
1266,14/03/2020,2020-03-14,30 A 39 ANOS,1
1367,15/03/2020,2020-03-15,30 A 39 ANOS,1
1366,15/03/2020,2020-03-15,20 A 29 ANOS,1
1466,16/03/2020,2020-03-16,40 A 49 ANOS,5
1465,16/03/2020,2020-03-16,30 A 39 ANOS,7
1464,16/03/2020,2020-03-16,20 A 29 ANOS,2
1468,16/03/2020,2020-03-16,80 A 89 ANOS,1
1467,16/03/2020,2020-03-16,60 A 69 ANOS,1
1570,17/03/2020,2020-03-17,90 OU MAIS,1
1569,17/03/2020,2020-03-17,70 A 79 ANOS,1
1568,17/03/2020,2020-03-17,50 A 59 ANOS,1
1567,17/03/2020,2020-03-17,40 A 49 ANOS,4
1566,17/03/2020,2020-03-17,30 A 39 ANOS,5
1565,17/03/2020,2020-03-17,20 A 29 ANOS,4
1667,18/03/2020,2020-03-18,1 A 9 ANOS,1
1668,18/03/2020,2020-03-18,20 A 29 ANOS,8
1669,18/03/2020,2020-03-18,30 A 39 ANOS,7
1670,18/03/2020,2020-03-18,40 A 49 ANOS,2
1671,18/03/2020,2020-03-18,50 A 59 ANOS,2
1672,18/03/2020,2020-03-18,60 A 69 ANOS,1
1673,18/03/2020,2020-03-18,70 A 79 ANOS,2
1674,18/03/2020,2020-03-18,<1ANO,1
1774,19/03/2020,2020-03-19,50 A 59 ANOS,3
1772,19/03/2020,2020-03-19,30 A 39 ANOS,4
1771,19/03/2020,2020-03-19,20 A 29 ANOS,5
1773,19/03/2020,2020-03-19,40 A 49 ANOS,5
1775,19/03/2020,2020-03-19,80 A 89 ANOS,1
1876,20/03/2020,2020-03-20,60 A 69 ANOS,3
1875,20/03/2020,2020-03-20,50 A 59 ANOS,3
1874,20/03/2020,2020-03-20,40 A 49 ANOS,7
1873,20/03/2020,2020-03-20,30 A 39 ANOS,4
1872,20/03/2020,2020-03-20,20 A 29 ANOS,7
1975,21/03/2020,2020-03-21,30 A 39 ANOS,16
1974,21/03/2020,2020-03-21,20 A 29 ANOS,8
1977,21/03/2020,2020-03-21,50 A 59 ANOS,2
1978,21/03/2020,2020-03-21,60 A 69 ANOS,4
1979,21/03/2020,2020-03-21,<1ANO,1
1976,21/03/2020,2020-03-21,40 A 49 ANOS,12
2079,22/03/2020,2020-03-22,40 A 49 ANOS,4
2080,22/03/2020,2020-03-22,60 A 69 ANOS,3
2078,22/03/2020,2020-03-22,30 A 39 ANOS,10
2077,22/03/2020,2020-03-22,20 A 29 ANOS,3
2081,22/03/2020,2020-03-22,70 A 79 ANOS,1
2185,23/03/2020,2020-03-23,<1ANO,1
2184,23/03/2020,2020-03-23,70 A 79 ANOS,4
2183,23/03/2020,2020-03-23,60 A 69 ANOS,8
2182,23/03/2020,2020-03-23,50 A 59 ANOS,9
2181,23/03/2020,2020-03-23,40 A 49 ANOS,10
2180,23/03/2020,2020-03-23,30 A 39 ANOS,15
2179,23/03/2020,2020-03-23,20 A 29 ANOS,11
2178,23/03/2020,2020-03-23,1 A 9 ANOS,1
2289,24/03/2020,2020-03-24,70 A 79 ANOS,2
2288,24/03/2020,2020-03-24,60 A 69 ANOS,1
2287,24/03/2020,2020-03-24,50 A 59 ANOS,9
2290,24/03/2020,2020-03-24,80 A 89 ANOS,1
2285,24/03/2020,2020-03-24,30 A 39 ANOS,12
2284,24/03/2020,2020-03-24,20 A 29 ANOS,4
2283,24/03/2020,2020-03-24,10 A 19 ANOS,1
2286,24/03/2020,2020-03-24,40 A 49 ANOS,4
2385,25/03/2020,2020-03-25,1 A 9 ANOS,2
2386,25/03/2020,2020-03-25,20 A 29 ANOS,11
2387,25/03/2020,2020-03-25,30 A 39 ANOS,16
2388,25/03/2020,2020-03-25,40 A 49 ANOS,9
2389,25/03/2020,2020-03-25,50 A 59 ANOS,3
2390,25/03/2020,2020-03-25,60 A 69 ANOS,6
2391,25/03/2020,2020-03-25,<1ANO,1
2491,26/03/2020,2020-03-26,60 A 69 ANOS,7
2492,26/03/2020,2020-03-26,70 A 79 ANOS,1
2490,26/03/2020,2020-03-26,50 A 59 ANOS,14
2485,26/03/2020,2020-03-26,1 A 9 ANOS,1
2488,26/03/2020,2020-03-26,30 A 39 ANOS,20
2487,26/03/2020,2020-03-26,20 A 29 ANOS,9
2486,26/03/2020,2020-03-26,10 A 19 ANOS,3
2489,26/03/2020,2020-03-26,40 A 49 ANOS,18
2594,27/03/2020,2020-03-27,<1ANO,5
2593,27/03/2020,2020-03-27,80 A 89 ANOS,2
2592,27/03/2020,2020-03-27,70 A 79 ANOS,5
2591,27/03/2020,2020-03-27,60 A 69 ANOS,6
2589,27/03/2020,2020-03-27,40 A 49 ANOS,13
2588,27/03/2020,2020-03-27,30 A 39 ANOS,15
2587,27/03/2020,2020-03-27,20 A 29 ANOS,13
2586,27/03/2020,2020-03-27,10 A 19 ANOS,1
2590,27/03/2020,2020-03-27,50 A 59 ANOS,4
2697,28/03/2020,2020-03-28,<1ANO,2
2696,28/03/2020,2020-03-28,80 A 89 ANOS,1
2695,28/03/2020,2020-03-28,70 A 79 ANOS,5
2693,28/03/2020,2020-03-28,50 A 59 ANOS,7
2694,28/03/2020,2020-03-28,60 A 69 ANOS,6
2691,28/03/2020,2020-03-28,30 A 39 ANOS,12
2690,28/03/2020,2020-03-28,20 A 29 ANOS,7
2689,28/03/2020,2020-03-28,10 A 19 ANOS,1
2692,28/03/2020,2020-03-28,40 A 49 ANOS,14
2792,29/03/2020,2020-03-29,80 A 89 ANOS,1
2791,29/03/2020,2020-03-29,70 A 79 ANOS,4
2789,29/03/2020,2020-03-29,50 A 59 ANOS,8
2790,29/03/2020,2020-03-29,60 A 69 ANOS,5
2787,29/03/2020,2020-03-29,30 A 39 ANOS,7
2786,29/03/2020,2020-03-29,20 A 29 ANOS,1
2785,29/03/2020,2020-03-29,10 A 19 ANOS,3
2788,29/03/2020,2020-03-29,40 A 49 ANOS,6
2884,30/03/2020,2020-03-30,80 A 89 ANOS,2
2877,30/03/2020,2020-03-30,10 A 19 ANOS,3
2878,30/03/2020,2020-03-30,20 A 29 ANOS,8
2879,30/03/2020,2020-03-30,30 A 39 ANOS,24
2881,30/03/2020,2020-03-30,50 A 59 ANOS,7
2882,30/03/2020,2020-03-30,60 A 69 ANOS,6
2883,30/03/2020,2020-03-30,70 A 79 ANOS,1
2885,30/03/2020,2020-03-30,<1ANO,2
2880,30/03/2020,2020-03-30,40 A 49 ANOS,19
2980,31/03/2020,2020-03-31,90 OU MAIS,1
2972,31/03/2020,2020-03-31,1 A 9 ANOS,1
2973,31/03/2020,2020-03-31,20 A 29 ANOS,8
2974,31/03/2020,2020-03-31,30 A 39 ANOS,15
2979,31/03/2020,2020-03-31,80 A 89 ANOS,1
2976,31/03/2020,2020-03-31,50 A 59 ANOS,10
2977,31/03/2020,2020-03-31,60 A 69 ANOS,7
2978,31/03/2020,2020-03-31,70 A 79 ANOS,2
2975,31/03/2020,2020-03-31,40 A 49 ANOS,17
289,04/03/2020,2020-04-03,30 A 39 ANOS,2
